total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
105415200.0,105124800.0,210540000.0,479835.0,219.39,"{'Total scalar accesses': 315664800.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 210830400.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 107331840.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 211120800.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 5558760.0, 'Op per Byte': 18.94}","{'Total scalar accesses': 1799895.0, 'Op per Byte': 58.49}",63.91,6.25,3294225.0,609.42,2010.0,0.0,105415200.0,398.55,181.69,182.19,182.19,2229.59,421.34,2185.53,5781.1,AlexNet_AlexNet_layer1
447897600.0,447710976.0,895608576.0,893280.0,501.3,"{'Total scalar accesses': 1343319552.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 895795200.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 453427200.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 895608576.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 15496704.0, 'Op per Byte': 28.9}","{'Total scalar accesses': 7216128.0, 'Op per Byte': 62.06}",63.99,6.25,13996800.0,2465.43,34500.0,0.0,447897600.0,398.55,182.12,182.19,182.19,2222.53,274.65,2062.22,5504.46,AlexNet_AlexNet_layer2
149520384.0,149455488.0,298975872.0,1007232.0,148.41,"{'Total scalar accesses': 448301568.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 299040768.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 150405120.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 300338688.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 11089920.0, 'Op per Byte': 13.48}","{'Total scalar accesses': 1396608.0, 'Op per Byte': 107.04}",63.99,6.25,4672512.0,742.64,3470.0,0.0,149520384.0,398.55,182.04,182.19,182.19,2237.15,589.09,1195.6,4966.81,AlexNet_AlexNet_layer3
224280576.0,224215680.0,448496256.0,1478400.0,151.68,"{'Total scalar accesses': 672711936.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 448561152.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 225607680.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 450767616.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 12290304.0, 'Op per Byte': 18.25}","{'Total scalar accesses': 2065920.0, 'Op per Byte': 108.55}",63.99,6.25,7008768.0,1073.16,7520.0,0.0,224280576.0,398.55,182.14,182.19,182.19,2238.44,422.31,1179.05,4784.88,AlexNet_AlexNet_layer4
149520384.0,149477120.0,298997504.0,1014400.0,147.38,"{'Total scalar accesses': 448474624.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 299040768.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 150405120.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 304492032.0, 'Op per Byte': 0.49}",{},"{'Total scalar accesses': 15791232.0, 'Op per Byte': 9.47}","{'Total scalar accesses': 1014400.0, 'Op per Byte': 147.38}",63.99,6.25,4672512.0,731.02,3420.0,0.0,149520384.0,398.55,182.14,182.19,182.19,2280.03,795.55,868.4,4889.07,AlexNet_AlexNet_layer5
