total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
105415200.0,105124800.0,210540000.0,479835.0,54.85,"{'Total scalar accesses': 315664800.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 210830400.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 114998400.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 210540000.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 16515672.0, 'Op per Byte': 6.37}","{'Total scalar accesses': 634422.0, 'Op per Byte': 41.48}",31.96,12.5,6588450.0,791.55,5220.0,0.0,105415200.0,398.55,181.69,182.19,182.19,2220.98,1261.93,3081.38,7508.93,AlexNet_AlexNet_layer1
447897600.0,447710976.0,895608576.0,893280.0,125.33,"{'Total scalar accesses': 1342946304.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 895795200.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 453427200.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 902513664.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 70885632.0, 'Op per Byte': 6.32}","{'Total scalar accesses': 2277120.0, 'Op per Byte': 49.16}",31.99,12.5,27993600.0,3159.76,88500.0,0.0,447897600.0,398.55,182.04,182.19,182.19,2246.99,1259.65,2603.02,7054.64,AlexNet_AlexNet_layer2
149520384.0,149455488.0,298975872.0,1007232.0,37.1,"{'Total scalar accesses': 448041984.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 291373056.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 161021952.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 299040768.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 47907072.0, 'Op per Byte': 3.12}","{'Total scalar accesses': 1137024.0, 'Op per Byte': 32.87}",31.99,12.5,9345024.0,1441.94,13500.0,0.0,149520384.0,398.55,181.88,182.19,182.19,2224.37,2581.08,3893.49,9643.76,AlexNet_AlexNet_layer3
224280576.0,224215680.0,448496256.0,1478400.0,37.92,"{'Total scalar accesses': 672711936.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 437059584.0, 'Op per Byte': 0.51}","{'Total scalar accesses': 241532928.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 449988864.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 35273856.0, 'Op per Byte': 6.36}","{'Total scalar accesses': 1737600.0, 'Op per Byte': 32.26}",32.0,12.5,14017536.0,1882.67,26400.0,0.0,224280576.0,398.55,182.14,182.19,182.19,2233.01,1249.48,3966.69,8394.26,AlexNet_AlexNet_layer4
149520384.0,149477120.0,298997504.0,1014400.0,36.84,"{'Total scalar accesses': 448215040.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 299040768.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 161021952.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 299386880.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 49852800.0, 'Op per Byte': 3.0}","{'Total scalar accesses': 1273984.0, 'Op per Byte': 29.34}",32.0,12.5,9345024.0,1528.23,14300.0,0.0,149520384.0,398.55,181.98,182.19,182.19,2227.46,2686.0,4362.48,10220.87,AlexNet_AlexNet_layer5
