total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
105415200.0,105124800.0,210540000.0,479835.0,219.39,"{'Total scalar accesses': 219832800.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 107331840.0, 'Op per Byte': 1.96}","{'Total scalar accesses': 125191440.0, 'Op per Byte': 1.68}",{},{},"{'Total scalar accesses': 21218640.0, 'Op per Byte': 9.92}","{'Total scalar accesses': 1159260.0, 'Op per Byte': 90.81}",263.64,78.57,798600.0,971.3,776.0,0.0,105415200.0,262.78,3539.27,2535.48,1060.65,408.25,1407.63,9214.06,AlexNet_AlexNet_layer1
447897600.0,447710976.0,895608576.0,893280.0,501.3,"{'Total scalar accesses': 923788800.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 464486400.0, 'Op per Byte': 1.93}","{'Total scalar accesses': 499322880.0, 'Op per Byte': 1.79}",{},{},"{'Total scalar accesses': 39326976.0, 'Op per Byte': 22.77}","{'Total scalar accesses': 3886848.0, 'Op per Byte': 115.21}",179.96,53.57,4976640.0,3874.67,19300.0,0.0,447897600.0,262.78,3503.21,2580.14,1003.08,190.8,1110.78,8650.8,AlexNet_AlexNet_layer2
149520384.0,149455488.0,298975872.0,1007232.0,148.41,"{'Total scalar accesses': 348361728.0, 'Op per Byte': 0.43}","{'Total scalar accesses': 161021952.0, 'Op per Byte': 1.86}","{'Total scalar accesses': 156708864.0, 'Op per Byte': 1.91}",{},{},"{'Total scalar accesses': 27438720.0, 'Op per Byte': 10.9}","{'Total scalar accesses': 1266816.0, 'Op per Byte': 118.0}",311.93,92.86,958464.0,1386.46,1330.0,0.0,149520384.0,262.78,3926.16,2674.6,950.31,374.37,1084.48,9272.71,AlexNet_AlexNet_layer3
224280576.0,224215680.0,448496256.0,1478400.0,151.68,"{'Total scalar accesses': 475817472.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 241532928.0, 'Op per Byte': 1.86}","{'Total scalar accesses': 238298112.0, 'Op per Byte': 1.88}",{},{},"{'Total scalar accesses': 17089152.0, 'Op per Byte': 26.24}","{'Total scalar accesses': 2906112.0, 'Op per Byte': 77.16}",311.95,92.86,1437696.0,2089.22,3000.0,0.0,224280576.0,262.78,3596.66,2674.6,961.71,160.89,1658.56,9315.19,AlexNet_AlexNet_layer4
149520384.0,149477120.0,298997504.0,1014400.0,147.38,"{'Total scalar accesses': 317384704.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 161021952.0, 'Op per Byte': 1.86}","{'Total scalar accesses': 158386176.0, 'Op per Byte': 1.89}",{},{},"{'Total scalar accesses': 13821056.0, 'Op per Byte': 21.63}","{'Total scalar accesses': 1014400.0, 'Op per Byte': 147.38}",207.97,61.9,1437696.0,1279.54,1840.0,0.0,149520384.0,262.78,3598.63,2674.6,959.18,194.06,868.4,8557.64,AlexNet_AlexNet_layer5
