GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
608.0,91.43,62720,220.15,13.8,0.0,19267584,"{'mac': 262.78, 'psum_spad': 3344.92, 'weights_spad': 4861.08, 'ifmap_spad': 937.13, 'shared_glb': 193.0, 'DRAM': 1826.88, 'Total': 11425.78}",ConvNeXt_00
447.96,66.67,11239424,26949.8,303000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3407.31, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 40.96, 'DRAM': 1170.97, 'Total': 10704.43}",ConvNeXt_01
15.86,2.38,392,0.13,5.24e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 33306.12, 'Total': 42607.03}",ConvNeXt_02
15.86,2.38,392,0.13,5.24e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 33306.12, 'Total': 42607.03}",ConvNeXt_03
447.96,66.67,11239424,26949.8,303000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3407.31, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 40.96, 'DRAM': 1170.97, 'Total': 10704.43}",ConvNeXt_04
15.86,2.38,392,0.13,5.24e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 33306.12, 'Total': 42607.03}",ConvNeXt_05
15.86,2.38,392,0.13,5.24e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 33306.12, 'Total': 42607.03}",ConvNeXt_06
447.96,66.67,11239424,26949.8,303000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3407.31, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 40.96, 'DRAM': 1170.97, 'Total': 10704.43}",ConvNeXt_07
15.86,2.38,392,0.13,5.24e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 33306.12, 'Total': 42607.03}",ConvNeXt_08
15.86,2.38,392,0.13,5.24e-05,0.0,3136,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 928.43, 'shared_glb': 104.41, 'DRAM': 33306.12, 'Total': 42607.03}",ConvNeXt_09
396.46,59.05,517888,919.36,476.0,0.0,102760448,"{'mac': 262.78, 'psum_spad': 3477.3, 'weights_spad': 2662.11, 'ifmap_spad': 1018.37, 'shared_glb': 272.21, 'DRAM': 1253.83, 'Total': 8946.59}",ConvNeXt_10
13.5,2.08,28,0.01,2.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 39183.67, 'Total': 48244.73}",ConvNeXt_100
13.5,2.08,28,0.01,2.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 39183.67, 'Total': 48244.73}",ConvNeXt_101
111.97,16.67,1835008,912.0,1670.0,0.0,102760448,"{'mac': 262.78, 'psum_spad': 3600.9, 'weights_spad': 2830.75, 'ifmap_spad': 968.77, 'shared_glb': 525.3, 'DRAM': 686.54, 'Total': 8875.05}",ConvNeXt_102
112.0,16.67,44957696,20851.8,937000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2830.75, 'ifmap_spad': 925.4, 'shared_glb': 74.79, 'DRAM': 671.3, 'Total': 8282.31}",ConvNeXt_103
13.0,2.08,7,0.0,2.48e-08,0.0,49,"{'mac': 262.78, 'psum_spad': 1582.97, 'weights_spad': 5554.51, 'ifmap_spad': 1268.37, 'shared_glb': 948.96, 'DRAM': 62693.88, 'Total': 72311.47}",ConvNeXt_104
13.0,2.08,7,0.0,2.48e-08,0.0,49,"{'mac': 262.78, 'psum_spad': 1582.97, 'weights_spad': 5554.51, 'ifmap_spad': 1268.37, 'shared_glb': 948.96, 'DRAM': 62693.88, 'Total': 72311.47}",ConvNeXt_105
112.0,16.67,44957696,20851.8,937000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2830.75, 'ifmap_spad': 925.4, 'shared_glb': 74.79, 'DRAM': 671.3, 'Total': 8282.31}",ConvNeXt_106
13.0,2.08,7,0.0,2.48e-08,0.0,49,"{'mac': 262.78, 'psum_spad': 1582.97, 'weights_spad': 5554.51, 'ifmap_spad': 1268.37, 'shared_glb': 948.96, 'DRAM': 62693.88, 'Total': 72311.47}",ConvNeXt_107
