GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
24.0,1.56,38731776,4097.06,159000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3599.24, 'weights_spad': 2504.45, 'ifmap_spad': 1011.14, 'shared_glb': 246.01, 'DRAM': 1191.41, 'Total': 8815.03}",ViT_24
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_25
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_26
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_27
15.96,1.04,18912,4.13,0.0781,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 13316.41, 'Total': 27282.45}",ViT_28
1.99,0.13,465708,13.0,6.05,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 11966.98, 'Total': 27908.19}",ViT_29
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_30
23.98,1.56,38731776,4169.09,161000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 1149.75, 'Total': 8970.0}",ViT_31
24.0,1.56,38731776,4097.06,159000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3599.24, 'weights_spad': 2504.45, 'ifmap_spad': 1011.14, 'shared_glb': 246.01, 'DRAM': 1191.41, 'Total': 8815.03}",ViT_32
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_33
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_34
23.98,1.56,9682944,1133.92,11000.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 2149.75, 'Total': 9758.7}",ViT_35
15.96,1.04,18912,4.13,0.0781,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 13316.41, 'Total': 27282.45}",ViT_36
1.99,0.13,465708,13.0,6.05,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 11966.98, 'Total': 27908.19}",ViT_37
