GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_62
23.98,3.57,38731776,3768.3,146000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 287.44, 'Total': 8107.69}",ViT_63
24.0,3.57,38731776,3648.13,141000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 339.52, 'Total': 7849.14}",ViT_64
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_65
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_66
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_67
15.96,2.38,18912,2.62,0.0495,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 3329.95, 'Total': 17295.99}",ViT_68
1.99,0.3,465708,8.82,4.11,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 2992.57, 'Total': 18933.78}",ViT_69
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_70
23.98,3.57,38731776,3768.3,146000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 287.44, 'Total': 8107.69}",ViT_71
24.0,3.57,38731776,3648.13,141000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 339.52, 'Total': 7849.14}",ViT_72
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_73
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_74
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_75
15.96,2.38,18912,2.62,0.0495,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 3329.95, 'Total': 17295.99}",ViT_76
1.99,0.3,465708,8.82,4.11,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 2992.57, 'Total': 18933.78}",ViT_77
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_78
23.98,3.57,38731776,3768.3,146000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 287.44, 'Total': 8107.69}",ViT_79
24.0,3.57,38731776,3648.13,141000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 339.52, 'Total': 7849.14}",ViT_80
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_81
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_82
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_83
15.96,2.38,18912,2.62,0.0495,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 3329.95, 'Total': 17295.99}",ViT_84
1.99,0.3,465708,8.82,4.11,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 2992.57, 'Total': 18933.78}",ViT_85
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_86
23.98,3.57,38731776,3768.3,146000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 287.44, 'Total': 8107.69}",ViT_87
24.0,3.57,38731776,3648.13,141000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 339.52, 'Total': 7849.14}",ViT_88
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_89
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_90
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_91
15.96,2.38,18912,2.62,0.0495,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 3329.95, 'Total': 17295.99}",ViT_92
1.99,0.3,465708,8.82,4.11,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 2992.57, 'Total': 18933.78}",ViT_93
23.98,3.57,9682944,946.57,9170.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 537.44, 'Total': 8146.39}",ViT_94
23.98,3.57,38731776,3768.3,146000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 287.44, 'Total': 8107.69}",ViT_95
24.0,3.57,38731776,3648.13,141000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 339.52, 'Total': 7849.14}",ViT_96
23.98,3.57,64000,32.08,2.05,0.0,768000,"{'mac': 262.78, 'psum_spad': 3575.98, 'weights_spad': 4860.7, 'ifmap_spad': 915.45, 'shared_glb': 88.0, 'DRAM': 32074.0, 'Total': 41776.9}",ViT_97
