GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
13.0,4.17,7,0.01,3.56e-08,0.0,49,"{'mac': 262.78, 'psum_spad': 1582.97, 'weights_spad': 5554.51, 'ifmap_spad': 1268.37, 'shared_glb': 948.96, 'DRAM': 94040.82, 'Total': 103658.41}",ConvNeXt_111
19.99,5.95,102400,75.47,7.73,0.0,1024000,"{'mac': 262.78, 'psum_spad': 3404.39, 'weights_spad': 4860.7, 'ifmap_spad': 991.37, 'shared_glb': 53.46, 'DRAM': 64126.5, 'Total': 73699.2}",ConvNeXt_112
15.71,4.76,98,0.06,6.05e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 69224.49, 'Total': 78707.15}",ConvNeXt_12
15.71,4.76,98,0.06,6.05e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 69224.49, 'Total': 78707.15}",ConvNeXt_13
223.99,66.67,22478848,23658.61,532000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3601.48, 'weights_spad': 2661.59, 'ifmap_spad': 1011.14, 'shared_glb': 288.76, 'DRAM': 1571.43, 'Total': 9397.17}",ConvNeXt_14
15.71,4.76,98,0.06,6.05e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 69224.49, 'Total': 78707.15}",ConvNeXt_15
15.71,4.76,98,0.06,6.05e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 69224.49, 'Total': 78707.15}",ConvNeXt_16
223.99,66.67,22478848,23658.61,532000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3601.48, 'weights_spad': 2661.59, 'ifmap_spad': 1011.14, 'shared_glb': 288.76, 'DRAM': 1571.43, 'Total': 9397.17}",ConvNeXt_17
15.71,4.76,98,0.06,6.05e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 69224.49, 'Total': 78707.15}",ConvNeXt_18
15.71,4.76,98,0.06,6.05e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 69224.49, 'Total': 78707.15}",ConvNeXt_19
208.99,62.23,982912,996.2,979.0,0.0,102760448,"{'mac': 262.78, 'psum_spad': 3497.16, 'weights_spad': 2661.87, 'ifmap_spad': 1300.73, 'shared_glb': 434.84, 'DRAM': 1536.99, 'Total': 9694.37}",ConvNeXt_20
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_21
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_22
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_23
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_24
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_25
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_26
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_27
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_28
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_29
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_30
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_31
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_32
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_33
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_34
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_35
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_36
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_37
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_38
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_39
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_40
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_41
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_42
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_43
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_44
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_45
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_46
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_47
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_48
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_49
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_50
224.0,66.67,22478848,35510.87,798000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3404.72, 'weights_spad': 4860.7, 'ifmap_spad': 961.71, 'shared_glb': 35.78, 'DRAM': 4579.19, 'Total': 14104.87}",ConvNeXt_51
13.5,4.17,28,0.02,4.65e-07,0.0,196,"{'mac': 262.78, 'psum_spad': 2493.92, 'weights_spad': 4860.7, 'ifmap_spad': 968.77, 'shared_glb': 474.88, 'DRAM': 75755.1, 'Total': 84816.16}",ConvNeXt_52
