GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
19.99,8.33,102400,26.22,2.68,0.0,1024000,"{'mac': 262.78, 'psum_spad': 3404.39, 'weights_spad': 4860.7, 'ifmap_spad': 991.37, 'shared_glb': 53.46, 'DRAM': 16032.0, 'Total': 25604.7}",ConvNeXt_112
15.71,6.67,98,0.02,2.08e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 17632.65, 'Total': 27115.31}",ConvNeXt_12
15.71,6.67,98,0.02,2.08e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 17632.65, 'Total': 27115.31}",ConvNeXt_13
112.0,46.67,44957696,20311.14,913000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3503.17, 'weights_spad': 2640.44, 'ifmap_spad': 1109.99, 'shared_glb': 282.04, 'DRAM': 269.13, 'Total': 8067.56}",ConvNeXt_14
15.71,6.67,98,0.02,2.08e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 17632.65, 'Total': 27115.31}",ConvNeXt_15
15.71,6.67,98,0.02,2.08e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 17632.65, 'Total': 27115.31}",ConvNeXt_16
112.0,46.67,44957696,20311.14,913000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3503.17, 'weights_spad': 2640.44, 'ifmap_spad': 1109.99, 'shared_glb': 282.04, 'DRAM': 269.13, 'Total': 8067.56}",ConvNeXt_17
15.71,6.67,98,0.02,2.08e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 17632.65, 'Total': 27115.31}",ConvNeXt_18
15.71,6.67,98,0.02,2.08e-06,0.0,784,"{'mac': 262.78, 'psum_spad': 3144.59, 'weights_spad': 4860.7, 'ifmap_spad': 976.84, 'shared_glb': 237.75, 'DRAM': 17632.65, 'Total': 27115.31}",ConvNeXt_19
111.95,46.67,1835008,827.32,1520.0,0.0,102760448,"{'mac': 262.78, 'psum_spad': 3575.98, 'weights_spad': 2577.01, 'ifmap_spad': 1011.14, 'shared_glb': 361.65, 'DRAM': 262.44, 'Total': 8050.99}",ConvNeXt_20
112.0,46.67,44957696,19490.51,876000.0,0.0,2517630976,"{'mac': 262.78, 'psum_spad': 3517.29, 'weights_spad': 2661.59, 'ifmap_spad': 938.51, 'shared_glb': 114.57, 'DRAM': 246.86, 'Total': 7741.61}",ConvNeXt_21
