GFLOPs,Utilization (%),Cycles,Energy (uJ),EDP (J*cycle),Area (mm^2),Computes,fJ/Compute,layer
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_82
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_83
15.96,4.76,18912,3.12,0.059,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 6659.9, 'Total': 20625.94}",ViT_84
1.99,0.6,465708,10.21,4.76,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 5985.14, 'Total': 21926.35}",ViT_85
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_86
23.98,7.14,38731776,3901.9,151000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 574.87, 'Total': 8395.13}",ViT_87
24.0,7.14,38731776,3805.94,147000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 679.04, 'Total': 8188.66}",ViT_88
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_89
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_90
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_91
15.96,4.76,18912,3.12,0.059,0.0,151296,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.78, 'ifmap_spad': 1703.1, 'shared_glb': 4341.16, 'DRAM': 6659.9, 'Total': 20625.94}",ViT_92
1.99,0.6,465708,10.21,4.76,0.0,465708,"{'mac': 262.78, 'psum_spad': 4969.22, 'weights_spad': 2689.79, 'ifmap_spad': 1703.1, 'shared_glb': 6316.32, 'DRAM': 5985.14, 'Total': 21926.35}",ViT_93
23.98,7.14,9682944,1009.02,9770.0,0.0,116195328,"{'mac': 262.78, 'psum_spad': 3494.85, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 236.88, 'DRAM': 1074.87, 'Total': 8683.82}",ViT_94
23.98,7.14,38731776,3901.9,151000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3593.7, 'weights_spad': 2504.45, 'ifmap_spad': 1109.99, 'shared_glb': 349.33, 'DRAM': 574.87, 'Total': 8395.13}",ViT_95
24.0,7.14,38731776,3805.94,147000.0,0.0,464781312,"{'mac': 262.78, 'psum_spad': 3598.13, 'weights_spad': 2504.45, 'ifmap_spad': 961.71, 'shared_glb': 182.55, 'DRAM': 679.04, 'Total': 8188.66}",ViT_96
23.98,7.14,64000,56.72,3.63,0.0,768000,"{'mac': 262.78, 'psum_spad': 3575.98, 'weights_spad': 4860.7, 'ifmap_spad': 915.45, 'shared_glb': 88.0, 'DRAM': 64147.33, 'Total': 73850.23}",ViT_97
