total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
105415200.0,105124800.0,210540000.0,479835.0,219.39,"{'Total scalar accesses': 315664800.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 210830400.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 114998400.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 210540000.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 23413296.0, 'Op per Byte': 4.5}","{'Total scalar accesses': 943596.0, 'Op per Byte': 111.56}",15.98,4.76,13176900.0,642.82,8470.0,0.0,105415200.0,398.55,181.69,182.19,182.19,2220.98,1786.64,1145.76,6098.02,AlexNet_AlexNet_layer1
447897600.0,447710976.0,895608576.0,893280.0,501.3,"{'Total scalar accesses': 1343319552.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 855982080.0, 'Op per Byte': 0.52}","{'Total scalar accesses': 497664000.0, 'Op per Byte': 0.9}","{'Total scalar accesses': 895981824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 102712416.0, 'Op per Byte': 4.36}","{'Total scalar accesses': 2868576.0, 'Op per Byte': 156.11}",16.0,4.76,55987200.0,2614.19,146000.0,0.0,447897600.0,398.55,182.12,182.19,182.19,2223.83,1847.9,819.78,5836.57,AlexNet_AlexNet_layer2
149520384.0,149455488.0,298975872.0,1007232.0,148.41,"{'Total scalar accesses': 448431360.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 299040768.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 150405120.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 299040768.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 19575936.0, 'Op per Byte': 7.64}","{'Total scalar accesses': 1640832.0, 'Op per Byte': 91.1}",16.0,4.76,18690048.0,840.81,15700.0,0.0,149520384.0,398.55,182.12,182.19,182.19,2223.19,1050.49,1404.67,5623.41,AlexNet_AlexNet_layer3
224280576.0,224215680.0,448496256.0,1478400.0,151.68,"{'Total scalar accesses': 672711936.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 448561152.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 225607680.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 448690944.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 28121472.0, 'Op per Byte': 7.97}","{'Total scalar accesses': 1867776.0, 'Op per Byte': 120.06}",16.0,4.76,28035072.0,1177.17,33000.0,0.0,224280576.0,398.55,182.14,182.19,182.19,2223.97,1013.64,1065.97,5248.65,AlexNet_AlexNet_layer4
149520384.0,149477120.0,298997504.0,1014400.0,147.38,"{'Total scalar accesses': 448474624.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 299040768.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 161021952.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 300122368.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 33801856.0, 'Op per Byte': 4.42}","{'Total scalar accesses': 1706624.0, 'Op per Byte': 87.6}",16.0,4.76,18690048.0,963.35,18000.0,0.0,149520384.0,398.55,182.14,182.19,182.19,2234.37,1802.47,1460.99,6442.91,AlexNet_AlexNet_layer5
