total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,psum_spad_intensity,weights_spad_intensity,ifmap_spad_intensity,inter_PE_spatial_intensity,inter_PE_column_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,psum_spad fJ/compute,weights_spad fJ/compute,ifmap_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
105415200.0,105124800.0,210540000.0,479835.0,219.39,"{'Total scalar accesses': 219832800.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 106286400.0, 'Op per Byte': 1.98}","{'Total scalar accesses': 158122800.0, 'Op per Byte': 1.33}",{},{},"{'Total scalar accesses': 24196410.0, 'Op per Byte': 8.7}","{'Total scalar accesses': 1973550.0, 'Op per Byte': 53.34}",119.83,35.71,1756920.0,1105.75,1940.0,0.0,105415200.0,262.78,3539.27,2512.0,1307.69,471.39,2396.38,10489.51,AlexNet_AlexNet_layer1
447897600.0,447710976.0,895608576.0,893280.0,501.3,"{'Total scalar accesses': 968951808.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 464486400.0, 'Op per Byte': 1.93}","{'Total scalar accesses': 559872000.0, 'Op per Byte': 1.6}",{},{},"{'Total scalar accesses': 43729632.0, 'Op per Byte': 20.48}","{'Total scalar accesses': 21547296.0, 'Op per Byte': 20.78}",255.95,76.19,3499200.0,6257.52,21900.0,0.0,447897600.0,262.78,3662.79,2580.14,1109.99,197.4,6157.78,13970.88,AlexNet_AlexNet_layer2
149520384.0,149455488.0,298975872.0,1007232.0,148.41,"{'Total scalar accesses': 323441664.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 161021952.0, 'Op per Byte': 1.86}","{'Total scalar accesses': 154312704.0, 'Op per Byte': 1.94}",{},{},"{'Total scalar accesses': 14978688.0, 'Op per Byte': 19.96}","{'Total scalar accesses': 1266816.0, 'Op per Byte': 118.0}",207.95,61.9,1437696.0,1319.98,1900.0,0.0,149520384.0,262.78,3662.56,2674.6,937.63,206.05,1084.48,8828.11,AlexNet_AlexNet_layer3
224280576.0,224215680.0,448496256.0,1478400.0,151.68,"{'Total scalar accesses': 466732032.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 241532928.0, 'Op per Byte': 1.86}","{'Total scalar accesses': 267411456.0, 'Op per Byte': 1.68}",{},{},"{'Total scalar accesses': 31536768.0, 'Op per Byte': 14.22}","{'Total scalar accesses': 2083200.0, 'Op per Byte': 107.65}",207.97,61.9,2156544.0,2025.47,4370.0,0.0,224280576.0,262.78,3532.73,2674.6,1064.37,307.57,1188.91,9030.95,AlexNet_AlexNet_layer4
149520384.0,149477120.0,298997504.0,1014400.0,147.38,"{'Total scalar accesses': 317384704.0, 'Op per Byte': 0.47}","{'Total scalar accesses': 161021952.0, 'Op per Byte': 1.86}","{'Total scalar accesses': 158386176.0, 'Op per Byte': 1.89}",{},{},"{'Total scalar accesses': 13821056.0, 'Op per Byte': 21.63}","{'Total scalar accesses': 1014400.0, 'Op per Byte': 147.38}",207.97,61.9,1437696.0,1279.54,1840.0,0.0,149520384.0,262.78,3598.63,2674.6,959.18,194.06,868.4,8557.64,AlexNet_AlexNet_layer5
