total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
102760448.0,102559744.0,205320192.0,439424.0,233.62,"{'Total scalar accesses': 305070080.0, 'Op per Byte': 0.34}","{'Total scalar accesses': 205520896.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 106430464.0, 'Op per Byte': 0.96}","{'Total scalar accesses': 205520896.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 30332032.0, 'Op per Byte': 3.38}","{'Total scalar accesses': 570496.0, 'Op per Byte': 179.95}",63.94,6.25,3211264.0,643.87,2070.0,0.0,102760448.0,398.55,179.35,182.19,182.19,2236.9,2375.09,711.5,6265.77,ConvNeXt_10
196.0,182.0,378.0,224.0,0.84,"{'Total scalar accesses': 364.0, 'Op per Byte': 0.52}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 28.0, 'Op per Byte': 6.75}",{},{},"{'Total scalar accesses': 224.0, 'Op per Byte': 0.84}",54.0,5.47,7.0,0.12,8.62e-07,0.0,196.0,398.55,156.17,182.19,182.19,223.25,0.12,626938.78,628081.25,ConvNeXt_100
196.0,182.0,378.0,224.0,0.84,"{'Total scalar accesses': 364.0, 'Op per Byte': 0.52}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 392.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 28.0, 'Op per Byte': 6.75}",{},{},"{'Total scalar accesses': 224.0, 'Op per Byte': 0.84}",54.0,5.47,7.0,0.12,8.62e-07,0.0,196.0,398.55,156.17,182.19,182.19,223.25,0.12,626938.78,628081.25,ConvNeXt_101
102760448.0,102710272.0,205470720.0,2180096.0,47.12,"{'Total scalar accesses': 307478528.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 205520896.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 104857600.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 205119488.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 25722880.0, 'Op per Byte': 3.99}","{'Total scalar accesses': 2180096.0, 'Op per Byte': 47.12}",63.98,6.25,3211264.0,812.25,2610.0,0.0,102760448.0,398.55,181.48,182.19,182.19,2220.22,2023.59,2716.04,7904.28,ConvNeXt_102
2517630976.0,2517580800.0,5035211776.0,51603456.0,48.79,"{'Total scalar accesses': 7552792576.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2569011200.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5040078848.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 98294784.0, 'Op per Byte': 25.61}","{'Total scalar accesses': 61264896.0, 'Op per Byte': 41.09}",64.0,6.25,78675968.0,16597.31,1310000.0,0.0,2517630976.0,398.55,182.19,182.19,182.19,2225.81,306.68,3114.82,6592.43,ConvNeXt_103
49.0,42.0,91.0,63.0,0.72,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 7.0, 'Op per Byte': 6.5}",{},{},"{'Total scalar accesses': 63.0, 'Op per Byte': 0.72}",13.0,1.37,7.0,0.12,8.61e-07,0.0,49.0,398.55,156.17,182.19,182.19,223.25,0.48,2507755.1,2508897.94,ConvNeXt_104
49.0,42.0,91.0,63.0,0.72,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 7.0, 'Op per Byte': 6.5}",{},{},"{'Total scalar accesses': 63.0, 'Op per Byte': 0.72}",13.0,1.37,7.0,0.12,8.61e-07,0.0,49.0,398.55,156.17,182.19,182.19,223.25,0.48,2507755.1,2508897.94,ConvNeXt_105
2517630976.0,2517580800.0,5035211776.0,51603456.0,48.79,"{'Total scalar accesses': 7552792576.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2569011200.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5040078848.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 98294784.0, 'Op per Byte': 25.61}","{'Total scalar accesses': 61264896.0, 'Op per Byte': 41.09}",64.0,6.25,78675968.0,16597.31,1310000.0,0.0,2517630976.0,398.55,182.19,182.19,182.19,2225.81,306.68,3114.82,6592.43,ConvNeXt_106
49.0,42.0,91.0,63.0,0.72,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 7.0, 'Op per Byte': 6.5}",{},{},"{'Total scalar accesses': 63.0, 'Op per Byte': 0.72}",13.0,1.37,7.0,0.12,8.61e-07,0.0,49.0,398.55,156.17,182.19,182.19,223.25,0.48,2507755.1,2508897.94,ConvNeXt_107
49.0,42.0,91.0,63.0,0.72,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 7.0, 'Op per Byte': 6.5}",{},{},"{'Total scalar accesses': 63.0, 'Op per Byte': 0.72}",13.0,1.37,7.0,0.12,8.61e-07,0.0,49.0,398.55,156.17,182.19,182.19,223.25,0.48,2507755.1,2508897.94,ConvNeXt_108
2517630976.0,2517580800.0,5035211776.0,51603456.0,48.79,"{'Total scalar accesses': 7552792576.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2569011200.0, 'Op per Byte': 0.98}","{'Total scalar accesses': 5040078848.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 98294784.0, 'Op per Byte': 25.61}","{'Total scalar accesses': 61264896.0, 'Op per Byte': 41.09}",64.0,6.25,78675968.0,16597.31,1310000.0,0.0,2517630976.0,398.55,182.19,182.19,182.19,2225.81,306.68,3114.82,6592.43,ConvNeXt_109
2517630976.0,2517430272.0,5035061248.0,3707904.0,678.96,"{'Total scalar accesses': 7552491520.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 5035261952.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 2674982912.0, 'Op per Byte': 0.94}","{'Total scalar accesses': 5041283072.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 239831040.0, 'Op per Byte': 10.5}","{'Total scalar accesses': 16447488.0, 'Op per Byte': 153.06}",64.0,6.25,78675968.0,12024.17,946000.0,0.0,2517630976.0,398.55,182.18,182.19,182.19,2226.61,768.0,836.26,4775.99,ConvNeXt_11
49.0,42.0,91.0,63.0,0.72,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 7.0, 'Op per Byte': 6.5}",{},{},"{'Total scalar accesses': 63.0, 'Op per Byte': 0.72}",13.0,1.37,7.0,0.12,8.61e-07,0.0,49.0,398.55,156.17,182.19,182.19,223.25,0.48,2507755.1,2508897.94,ConvNeXt_110
49.0,42.0,91.0,63.0,0.72,"{'Total scalar accesses': 91.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 98.0, 'Op per Byte': 0.46}","{'Total scalar accesses': 7.0, 'Op per Byte': 6.5}",{},{},"{'Total scalar accesses': 63.0, 'Op per Byte': 0.72}",13.0,1.37,7.0,0.12,8.61e-07,0.0,49.0,398.55,156.17,182.19,182.19,223.25,0.48,2507755.1,2508897.94,ConvNeXt_111
